,NOX,RM,DIS,RAD,TAX,PTRATIO,B,MEDV,nCRIM,nZN,nINDUS,nCHAS,nAGE,nLSTAT
137,0.624,6.454,1.8498,4,437,21.2,394.08,17.1,0.35233,0.0,21.89,0.0,98.4,14.59
138,0.624,5.857,1.6686,4,437,21.2,392.04,13.3,0.2498,0.0,21.89,0.0,100.54831616458762,21.32
139,0.624,6.151,1.6687,4,437,21.2,396.9,17.8,0.54452,0.0,21.89,0.0,97.9,18.46
140,0.624,6.174,1.6119,4,437,21.2,388.08,14.0,0.2909,0.0,21.89,0.0,93.6,24.16
141,0.624,5.019,1.4394,4,437,21.2,396.9,14.4,1.62864,0.0,21.89,0.0,100.0,34.41
142,0.871,5.403,1.3216,5,403,14.7,396.9,13.4,3.32105,0.0,19.58,1.0,100.0,26.82
143,0.871,5.468,1.4118,5,403,14.7,396.9,15.6,4.0974,0.0,19.58,0.0,100.0,26.42
144,0.871,4.903,1.3459,5,403,14.7,396.9,11.8,2.77974,0.0,19.58,0.0,97.8,29.29
145,0.871,6.13,1.4191,5,403,14.7,172.91,13.8,2.37934,0.0,19.58,0.0,100.0,27.8
146,0.871,5.628,1.5166,5,403,14.7,169.27,15.6,2.15505,0.0,19.58,0.0,100.0,16.65
147,0.871,4.926,1.4608,5,403,14.7,391.71,14.6,2.36862,0.0,19.58,0.0,95.7,29.53
148,0.871,5.186,1.5296,5,403,14.7,356.99,17.8,2.33099,0.0,19.58,0.0,93.8,28.32
149,0.871,5.597,1.5257,5,403,14.7,351.85,15.4,2.73397,0.0,19.58,0.0,94.9,21.45
150,0.871,6.122,1.618,5,403,14.7,372.8,21.5,1.6566,0.0,19.58,0.0,100.73115485066866,14.1
151,0.871,5.404,1.5916,5,403,14.7,341.6,19.6,1.49632,0.0,19.58,0.0,100.0,13.28
152,0.871,5.012,1.6102,5,403,14.7,343.28,15.3,1.12658,0.0,19.58,0.0,88.0,12.12
153,0.871,5.709,1.6232,5,403,14.7,261.95,19.4,2.14918,0.0,19.58,0.0,98.5,15.79
154,0.871,6.129,1.7494,5,403,14.7,321.02,17.0,1.41385,0.0,19.58,1.0,96.0,15.12
155,0.871,6.152,1.7455,5,403,14.7,88.01,15.6,3.53501,0.0,19.58,1.0,93.34922318549978,15.02
156,0.871,5.272,1.7364,5,403,14.7,88.63,13.1,2.44668,0.0,19.58,0.0,94.0,16.14
157,0.605,6.943,1.8773,5,403,14.7,363.43,41.3,1.22358,0.0,19.58,0.0,97.4,4.59
158,0.605,6.066,1.7573,5,403,14.7,353.89,24.3,1.34284,0.0,19.58,0.0,100.0,6.43
159,0.871,6.51,1.7659,5,403,14.7,364.31,23.3,1.42502,0.0,19.58,0.0,100.0,7.39
160,0.605,6.25,1.7984,5,403,14.7,338.92,27.0,1.27346,0.0,19.58,1.0,92.6,5.5
161,0.605,7.489,1.9709,5,403,14.7,374.43,50.0,1.46336,0.0,19.58,0.0,90.8,1.73
162,0.605,7.802,2.0407,5,403,14.7,389.61,50.0,1.83377,0.0,19.58,1.0,98.2,1.92
163,0.605,8.375,2.162,5,403,14.7,388.45,50.0,1.51902,0.0,19.58,1.0,96.60737106206872,3.32
164,0.605,5.854,2.422,5,403,14.7,395.11,22.7,2.24236,0.0,19.58,0.0,91.8,11.64
165,0.605,6.101,2.2834,5,403,14.7,240.16,25.0,2.924,0.0,19.58,0.0,93.0,9.81
166,0.605,7.929,2.0459,5,403,14.7,369.3,50.0,2.01019,0.0,19.58,0.0,96.2,3.7
167,0.605,5.877,2.4259,5,403,14.7,227.61,23.8,1.80028,0.0,19.58,0.0,79.2,12.14
168,0.605,6.319,2.1,5,403,14.7,297.09,23.8,2.3004,0.0,19.58,0.0,96.1,11.1
169,0.605,6.402,2.2625,5,403,14.7,330.04,22.3,2.44953,0.0,19.58,0.0,95.2,11.32
170,0.605,5.875,2.4259,5,403,14.7,292.29,17.4,1.20742,0.0,19.58,0.0,94.6,14.43
171,0.605,5.88,2.3887,5,403,14.7,348.13,19.1,2.3139,0.0,19.58,0.0,97.3,12.03
172,0.51,5.572,2.5961,5,296,16.6,396.9,23.1,0.13914,0.0,4.05,0.0,88.5,14.69
173,0.51,6.416,2.6463,5,296,16.6,395.5,23.6,0.09178,0.0,4.05,0.0,84.66149025634357,9.04
174,0.51,5.859,2.7019,5,296,16.6,393.23,22.6,0.08447,0.0,4.05,0.0,68.7,9.64
175,0.51,6.546,3.1323,5,296,16.6,390.96,29.4,0.06664,0.0,4.05,0.0,33.1,5.33
176,0.51,6.02,3.5549,5,296,16.6,393.23,23.2,0.07022,0.0,4.05,0.0,47.2,10.11
177,0.51,6.315,3.3175,5,296,16.6,395.6,24.6,0.05425,0.0,4.05,0.0,73.4,6.29
178,0.51,6.86,2.9153,5,296,16.6,391.27,29.9,0.06642,0.0,4.05,0.0,74.4,6.92
179,0.488,6.98,2.829,3,193,17.8,396.9,37.2,0.0578,0.0,2.46,0.0,58.4,5.04
180,0.488,7.765,2.741,3,193,17.8,395.56,39.8,0.06588,0.0,2.46,0.0,83.3,7.56
181,0.488,6.144,2.5979,3,193,17.8,396.9,36.2,0.06888,0.0,2.46,0.0,62.2,9.45
182,0.488,7.155,2.7006,3,193,17.8,394.12,37.9,0.09103,0.0,2.46,0.0,92.2,4.82
183,0.488,6.563,2.847,3,193,17.8,396.9,32.5,0.09644242468378793,0.0,2.46,0.0,95.6,5.68
184,0.488,5.604,2.9879,3,193,17.8,391.0,26.4,0.08308,0.0,2.46,0.0,89.8,13.98
185,0.488,6.153,3.2797,3,193,17.8,387.11,29.6,0.06047,0.0,2.46,0.0,68.8,13.15
186,0.488,7.831,3.1992,3,193,17.8,392.63,50.0,0.05602,0.0,2.46,0.0,53.6,4.45
187,0.437,6.782,3.7886,5,398,15.2,393.87,32.0,0.07875,45.0,3.44,0.0,41.1,6.68
188,0.437,6.556,4.5667,5,398,15.2,382.84,29.8,0.12579,45.0,3.44,0.0,29.1,4.56
189,0.437,7.185,4.5667,5,398,15.2,396.9,34.9,0.0837,45.0,3.44,0.0,38.9,5.39
190,0.437,6.951,6.4798,5,398,15.2,377.68,37.0,0.09068,45.0,3.44,0.0,21.5,5.1
191,0.437,6.739,6.4798,5,398,15.2,389.71,30.5,0.08116481124140129,45.0,3.44,0.0,30.8,4.69
192,0.437,7.178,6.4798,5,398,15.2,390.49,36.4,0.04558751653653812,45.0,3.44,0.0,26.3,2.87
193,0.401,6.8,6.2196,1,265,15.6,393.37,31.1,0.02187,60.0,2.93,0.0,18.319198090724587,5.03
194,0.401,6.604,6.2196,1,265,15.6,376.7,29.1,0.01439,60.0,2.93,0.0,18.8,4.38
195,0.422,7.875,5.6484,4,255,14.4,394.23,50.0,0.01381,80.0,0.46,0.0,32.0,2.97
196,0.404,7.287,7.309,2,329,12.6,396.9,33.3,0.03209504856175359,80.0,1.52,0.0,34.1,4.08
197,0.404,7.107,7.309,2,329,12.6,354.31,30.3,0.04666,80.0,1.52,0.0,36.6,8.61
198,0.404,7.274,7.309,2,329,12.6,392.2,34.6,0.03768,80.0,1.52,0.0,38.3,6.62
199,0.403,6.975,7.6534,3,402,17.0,396.9,34.9,0.0315,95.0,1.47,0.0,15.3,4.56
200,0.403,7.135,7.6534,3,402,17.0,384.3,32.9,0.01778,95.0,1.47,0.0,13.9,4.45
201,0.415,6.162,6.27,2,348,14.7,393.77,24.1,0.03445,82.5,2.03,0.0,38.4,7.43
202,0.415,7.61,6.27,2,348,14.7,395.38,42.3,0.02177,82.5,2.03,0.0,15.7,3.11
203,0.4161,7.853,5.118,4,224,14.7,392.78,48.5,0.0351,95.0,2.68,0.0,33.2,3.81
204,0.4161,8.034,5.118,4,224,14.7,390.55,50.0,0.02009,95.0,2.68,0.0,31.9,2.88
205,0.489,5.891,3.9454,4,277,18.6,396.9,22.6,0.13642,95.0,10.59,0.0,22.3,10.87
206,0.489,6.326,4.3549,4,277,18.6,394.87,24.4,0.22969,0.0,10.59,0.0,52.5,10.97
207,0.489,5.783,4.3549,4,277,18.6,389.43,22.5,0.25199,0.0,10.59,0.0,72.7,10.442756525180828
208,0.489,6.064,4.2392,4,277,18.6,381.32,24.4,0.13587,0.0,10.59,1.0,59.1,14.66
209,0.489,5.344,3.875,4,277,18.6,396.9,20.0,0.43571,0.0,10.59,1.0,100.0,23.09
210,0.489,5.96,3.8771,4,277,18.6,393.25,21.7,0.17446,0.0,10.59,1.0,92.1,17.27
211,0.489,5.404,3.665,4,277,18.6,395.24,19.3,0.37578,0.0,10.59,1.0,88.6,23.98
212,0.489,5.807,3.6526,4,277,18.6,390.94,22.4,0.21719,0.0,10.59,1.0,53.8,16.03
213,0.489,6.375,3.9454,4,277,18.6,385.81,28.1,0.14052,0.0,10.59,0.0,32.3,9.38
214,0.489,5.412,3.5875,4,277,18.6,348.93,23.7,0.28955,0.0,10.59,0.0,9.8,29.55
215,0.489,6.182,3.9454,4,277,18.6,393.63,25.0,0.19802,0.0,10.59,0.0,22.638516311314703,9.47
216,0.55,5.888,3.1121,5,276,16.4,392.8,23.3,0.0456,0.0,13.89,1.0,56.0,13.51
217,0.55,6.642,3.4211,5,276,16.4,392.78,28.7,0.07013,0.0,13.89,0.0,85.1,9.69
218,0.55,5.951,2.8893,5,276,16.4,396.9,21.5,0.11069,0.0,13.89,1.0,93.8,17.92
219,0.55,6.373,3.3633,5,276,16.4,393.74,23.0,0.11425,0.0,13.89,1.0,92.4,10.5
220,0.507,6.951,2.8617,8,307,17.4,391.7,26.7,0.35809,0.0,6.2,1.0,88.5,9.71
221,0.507,6.164,3.048,8,307,17.4,395.24,21.7,0.40771,0.0,6.2,1.0,91.3,21.46
222,0.507,6.879,3.2721,8,307,17.4,390.39,27.5,0.62356,0.0,6.2,1.0,77.7,9.93
223,0.507,6.618,3.2721,8,307,17.4,396.9,30.1,0.6147,0.0,6.2,0.0,80.8,7.6
224,0.504,8.266,2.8944,8,307,17.4,385.05,44.8,0.31533,0.0,6.2,0.0,78.3,4.14
225,0.504,8.725,2.8944,8,307,17.4,382.0,50.0,0.52693,0.0,6.2,0.0,83.0,4.63
226,0.504,8.04,3.2157,8,307,17.4,387.38,37.6,0.38214,0.0,6.2,0.0,86.5,6.2462027813391385
227,0.504,7.163,3.2157,8,307,17.4,372.08,31.6,0.41238,0.0,6.2,0.0,79.9,6.36
228,0.504,7.686,3.3751,8,307,17.4,377.51,46.7,0.29819,0.0,6.2,0.0,17.0,3.062484693299308
229,0.504,6.552,3.3751,8,307,17.4,380.34,31.5,0.41245154416063534,0.0,6.2,0.0,21.4,3.76
230,0.504,5.981,3.6715,8,307,17.4,378.35,24.3,0.537,0.0,6.2,0.0,68.1,11.65
231,0.504,7.412,3.6715,8,307,17.4,376.14,31.7,0.46296,0.0,6.2,0.0,76.9,5.25
232,0.507,8.337,3.8384,8,307,17.4,385.91,41.7,0.57529,0.0,6.2,0.0,73.3,2.47
233,0.507,8.247,3.6519,8,307,17.4,378.95,48.3,0.33147,0.0,6.2,0.0,70.68328682719425,3.95
234,0.507,6.726,3.6519,8,307,17.4,360.2,29.0,0.44791,0.0,6.2,1.0,66.5,8.05
235,0.507,6.086,3.6519,8,307,17.4,376.75,24.0,0.33045,0.0,6.2,0.0,61.5,10.88
236,0.507,6.631,4.148,8,307,17.4,388.45,25.1,0.4828616311862576,0.0,6.2,1.0,76.5,9.54
237,0.507,7.358,4.148,8,307,17.4,390.07,31.5,0.51183,0.0,6.2,0.0,71.6,4.73
238,0.428,6.481,6.1899,6,300,16.6,379.41,23.7,0.08244,0.0,4.93,0.0,18.5,6.36
239,0.428,6.606,6.1899,6,300,16.6,383.78,23.3,0.09252,30.0,4.93,0.0,42.2,7.37
240,0.428,6.897,6.3361,6,300,16.6,391.25,22.0,0.11329,30.0,4.93,0.0,54.3,11.38
241,0.428,6.095,6.3361,6,300,16.6,394.62,20.1,0.10739668499971328,30.0,4.93,0.0,65.1,12.4
242,0.428,6.358,7.0355,6,300,16.6,372.75,22.2,0.1029,30.0,4.93,0.0,52.9,11.22
243,0.428,6.393,7.0355,6,300,16.6,374.71,23.7,0.12757,30.0,4.93,0.0,7.8,5.19
244,0.431,5.593,7.9549,7,330,19.1,372.49,17.6,0.20608,22.0,5.86,0.0,76.5,12.5
245,0.431,5.605,7.9549,7,330,19.1,389.13,18.5,0.19133,22.0,5.86,0.0,70.2,18.46
